id,address,district,province,longitude,latitude,zipcode
0,Website Thegioididong.com,,Online,,,
1,"01 Lương Ngọc Quyến, tổ 4, P. Hoàng Văn Thụ",TP. Thái Nguyên,Thái Nguyên,105.82419,21.600864,24000
2,"02 Đường Nguyễn Trãi, Phường Nghĩa Lộ",TP Quảng Ngãi,Quảng Ngãi,108.7936,15.1129,53000
3,"02 Phan Chu Trinh, Phường An Mỹ, Thành phố Tam Kỳ",Tỉnh Quảng Nam,Quảng Nam,108.482468,15.573461,51000
4,"04 Ngõ 177 Định Công, P. Định Công",Q. Hoàng Mai,Hà Nội,105.83465,20.982263,10000
5,"05 Nguyễn Tất Thành, P.Hoa Lư",TP.Pleiku ,Gia Lai,108.0075359,13.985216,61000
6,"06 Hai Bà Trưng, Phường Lê Hồng Phong, Thành phố Quảng Ngãi",Tỉnh Quảng Ngãi,Quảng Ngãi,108.801188,15.132941,53000
7,"1 Trường Chinh, TT. Ea Drăng",H. Ea H'leo,Đắk Lắk,108.213164,13.2034477,63000
8,"1/25A Thủ Khoa Huân, KP Hòa Lân 1, P.Thuận Giao",TX.Thuận An,Bình Dương,106.70166,10.955949,75000
9,"1001 Đường Nguyễn Hữu Thọ, Phường Khuê Trung",Quận Cẩm Lệ,Đà Nẵng,108.21123,16.020536,50000
10,"10-12 đường Võ Nguyên Giáp, Tổ 1, P.Sông Cầu",TP.Bắc Kạn,Bắc Kạn,105.83843,22.152492,23000
11,"102 Lê Lợi, P. Châu Phú B",TP. Châu Đốc,An Giang,105.12756,10.706591,90000
12,"102 Phạm Văn Đồng, P. Mai Dịch, Q. Cầu Giấy",TP. Hà Nội ( Đầu Ngõ 1 đường Phạm Văn Đồng,Hà Nội,105.7808,21.042511,10000
13,"104 Thủ Khoa Nghĩa, P. Châu Phú A",TP. Châu Đốc,An Giang,105.11304,10.714168,90000
14,"106 Quốc Lộ 1, P.2",TP.Tân An,Long An,106.4076411,10.5398434,82000
15,"1082 Phú Riềng Đỏ, P.Tân Thiện",Thị xã Đồng Xoài,Bình Phước,106.9007812,11.5353053,67000
