"customer_id","product_id","time_up","content","rate_star","time_resolved","handler"
"tu123",210654,"1/10/2020 04:00:00","Mình vừa nhận máy được vào hôm, trải nghiệm máy rất nhạy, nhanh hình thức máy đẹp, camera k chê vào đâu được, tuy nhiên ở cửa hàng mình nhận máy phục vụ chưa được hài lòng lắm.",5,"23/10/2021 01:22:03.270398",
"nhtuan",210653,"14/10/2020 12:30:00","Dùng ổn mà Giá lại phải chăng Mình mua liền lúc 2 chiếc, 1 cái mình dùng thay con Vertu 185 triệu mua 2017 , 1 cái cho vợ . Các bạn có tiền thì nên đợi IP 12. Mình nghĩ sẽ hay ho hơn.",3,"23/10/2021 01:22:03.270398",
"tylnhi",210654,"15/9/2020 11:45:00","Trải nghiệm tuyệt vời, sản phẩm ưng ý, đáng đồng tiền bát gạo, tiền nào của nấy.",4,"23/10/2021 01:22:03.270398",
"toshiko",210654,"15/10/2020 15:00:00","Em đã dành hết mùa lúa vừa rồi mới mua được iPhone 11pro max😢😢😢 giờ đến cuối năm phải nhịn ăn 😩😩😩 có mối từ iPhone ma đêm nào cũng mơ thấy ác mộng 👹. Đúng là thứ rửa tiền của các đại gia. Người Mỹ đang hút máu 🥵🤬😈",2,"23/10/2021 01:22:03.270398",
"toshiko",210654,"16/10/2020 16:00:00","Iphone 11 pro max là 1 sản phẩm có chất lượng màn hình rất tệ, phải nói là ko có gì để tệ hơn. Màn hình khi xem video youtube 1080p rất tối mờ đục dù đã mở hết độ sáng. So với Samsung s20 ultral thì thật sự thua xa, chỉ giỏi quảng cáo và bán thương hiệu và cái hệ điều hành gò bó người dùng ko cài dc ứng dụng thứ 3 và thử cân cả kho tiện ích như chplay xem có mượt ko ? 1 quản lý điện máy xanh và 1 quản lý thế giới di động đã xác nhận điều tôi nói là chính xác.",1,"16/10/2020 18:02:31","Thegioididong.com"
"thanhvy",210654,"15/7/2020 21:00:00","Sản phẩm vô cùng tuyệt vời riêng về hệ điều hành ios thì ko cần phải bàn cãi về chất lượng sản phẩm",5,"23/10/2021 01:22:03.270398",
"dnmquoc",220522,"1/10/2020 00:00:00","Lần đầu tiên mình xài Samsung và đã mua con máy này 1 tháng 10 ngày, nói chung tất cả đều ổn, êm mượt :)",5,"1/1/1999 00:00:00",
"ntphong",220522,"19/9/2020 00:00:00","Hiệu năng tốt, nhưng pin quá tệ. Sạc pin lúc 6h sáng, tới 2h chiều phải sạc lại.",3,"1/1/1999 00:00:00",
"ndtai",220522,"1/9/2020 00:00:00","Máy đẹp, để màn 120hz tụt pin hơi nhanh so với note 10+, nếu để 60hz chắc pin trâu hơn",5,"1/1/1999 00:00:00",
"hltmanh",220522,"23/8/2020 00:00:00","Máy chụp hình đẹp. Mỗi dung lượng pinkhông thích sài rất nhanh hết pin. 6h sáng sạc pin. Sài mới 15h đã còn 20% pin. Trong khi máykhông sài liên tục",4,"1/1/1999 00:00:00",
"dhkhai",220522,"2/11/2020 00:00:00","Tôi dùng bản HK 865+ 2 sim Lúc đầu thì pin hơi kém so với con note 10 plus cũ Sau 2 tuần thì ok rồi, do học pin, do cập nhật. Kết nhất quả màn 120 hz và sáng hơn mh cũ 25%. Tội nghiệp và đáng buồn cho mấy người có nhiều tiền tỷ mà dùng mấy con đời cũ, bé tý, tối thui hại mắt, ít tính năng.",5,"1/1/1999 00:00:00",
"pmthe",220522,"26/10/2020 00:00:00","Rất hài lòng nha. Điện thoại chụp hình net, đẹp, tính năng ưu việt, sản phẩm tốt",5,"1/1/1999 00:00:00",
"nthoang",220522,"19/10/2020 00:00:00","Xài Samsung thì phải chấp nhận Pin tuột nhanh, và rớt giá khủng kiếp. 1 đến 2 năm thì đổi máy mới, sử dụng lâu hơn hay hỏng vặt. Trước đây mua tab s6 xài ko bao nhiêu lỗi main, lỗi viết đúng lúc vừa hết bảo hành bó tay, linh kiện thì đắt đỏ, chất lượng thì không phù hợp với giá tiền.",3,"1/1/1999 00:00:00",
"nttthuy",220522,"19/10/2020 00:00:00","Rất là OK pin trâu màn hình đẹp máy đẹp nói chung là rất đáng tiền..............",5,"1/1/1999 00:00:00",
"thanhvy",220522,"19/10/2020 00:00:00","Buồn là buồn pin j tệ quákhông sài j cũng tuột vù vù bậc màn tối cho mái đỡ hao pin r á...mà sài ngày sạc 2 lần...chán pin quá. Vẫn cho 5sao vì đó h toàn mua của tgdd",5,"1/1/1999 00:00:00",
"lnminh",220522,"5/10/2020 00:00:00","Cái giá nói lên tất cả rồi. đỉnh thật sự. Nhân viên nhiệt tình rất là hài lòng về thái độ tiếp đón phục vụ. Ai có khả năng thì nên tậu 1 con ^^",5,"1/1/1999 00:00:00",
"dkhy",220522,"3/10/2020 00:00:00","Máy cấu hình mạnh...năm nay chip exynos tối ưu hóa tốt hơn s20+ pin trâu tôi xài gần 2 ngày mới sạc pin...hiệu năng thì ko còn j để chê",5,"1/1/1999 00:00:00",
"nhdhao",220522,"1/10/2020 00:00:00","Quá ngon cho số tiền bỏ ra dự tính đợi IP12 ra mua nhưng đợi lâu quá nên mua luôn pin thì phải nói trâu thật sự trước giờ sài IP chỉ e ngại khoảng pin nhưng từ khi đổi qua con này thì quá là tuyệt vời nếu có tiền mọi người nên mua con này sài ít xuống máy ít rớt giá cấu hình này sài thoải mái thêm 3-4 năm nữa😍😍😍😍",5,"1/1/1999 00:00:00",
"ntloc",220522,"1/10/2020 00:00:00","Máy pin rất trâu, cấu hình rất mượt, chơi game không cảm giác giật gì cả. Mọi thứ Ok cho 5 sao",5,"1/1/1999 00:00:00",
"ntkduy",220522,"1/10/2020 00:00:00","Nói chung Note20Ultra không gì bàn cãi, 5 sao nhân viên tư vấn nhiệt tình thân thiện chăm sóc khách hàng tốt",5,"1/1/1999 00:00:00",
"httam",220522,"25/9/2020 00:00:00","Đã được hỗ trợ, sản phẩm dùng tốt, pin trâu, đã dùng tốt hơn rất nhìu cảm ơn Tgdd. Note20 xài okkk lắm mọi người ơi, mình từ Iphone XS Max chuyển sang.",5,"1/1/1999 00:00:00",
"tu123",220522,"25/9/2020 00:00:00","Lướt quá đã, xứng đáng đồng tiền bỏ ra. Camera chụp sắc nét thật.tuyệt vời cho 1 sản phẩm 30tr",5,"1/1/1999 00:00:00",
"ptttam",220522,"19/9/2020 00:00:00","Nhận máy hơn 2 tuần.. mọi thứ đều ổn.. mượt. Xuất sắc luôn... trước xài iphone chuyển qua N20 ultra lướt sướng luôn áh 😍😍😍",5,"1/1/1999 00:00:00",
"dhkhai",220522,"19/9/2020 00:00:00","Siêu phẩm!!! Nhân viên online tư vấn nhiệt tình. Mình mua online giao tận nơi rất uy tín. Máy sử dụng rất tốt. N20 untra đúng là ấn tượng pin RẤT XỊN (mấy má bật full màn hình, full tốt độ 120 rồi la hao pin vãi thật). Màn hình xuất sắc. Nhu vay thì ok rồi cảm ơn ad.",5,"1/1/1999 00:00:00",
"ltlong",220522,"17/9/2020 00:00:00","Tuyệt vời xem youtube lướt web nhanh chụp ảnh đẹp pin dùng ok trong khoảng 1 ngày mọi thứ đều tạm ổn",5,"1/1/1999 00:00:00",
"nvan",220522,"17/9/2020 00:00:00","Chào các anh trị QTV, Note20 ultra mới mua, em sạc pin 98%, tắt hết ứng dụng, 3G, Wifi và để qua đêm pin tụt còn 91%, như vậy có phải pin có vấn đềkhông ạ",4,"18/9/2020 00:00:00","Hỗ trợ kỹ thuật"
"ptkien",220522,"15/9/2020 00:00:00","Dùng iPhone 8 năm rồi nhưng qua samsung cảm thấy mọi thứ đều tuyệt vời không bị tù túng ức chế nhiều cái như iPhone. Không muốn quay lại iPhone nữa",5,"1/1/1999 00:00:00",
"sssbath",220522,"14/9/2020 00:00:00","Đã mua và đang xài bản xách tay Hồng Kông,Chip Snapdragon. Pinkhông trâu bằng Note 10+ N9760. Nhưng xài trên 1 ngày là ok rồi. Rất hài lòng.",5,"1/1/1999 00:00:00",
"lqcuong",220522,"13/9/2020 00:00:00","Tgdd tôi không còn tin tưởng nữa rồi một hệ thống bán lẻ điện thoại lớn nhất vn tôi mới mua tại cửa hàng số 473 đường Kính Dương Vương làm tôi quá thất vọng cảm giấc như mình bị lừa thất vọng vô cùng luôn chắc phải chuyển qua hệ thống khác thôi",1,"1/1/1999 00:00:00",
"hltmanh",220522,"9/9/2020 00:00:00","Nhìn chip là đãkhông thích rồi...chíp chán giá thì quá cao..tôi dùng 4 đời samsung và sau lại quay lại iphone",3,"1/1/1999 00:00:00",
"ttlong",220522,"7/9/2020 00:00:00","Máy Note20 chụp hình đẹp, màn hình theo mình thấy rất tuyệt vời. Pin dùng trâu bò cả ngày. Nói chung đáng mua trong tầm giá sau khuyến mãi.",5,"1/1/1999 00:00:00",
"httri",220522,"7/9/2020 00:00:00","Camera đẹp lắm. Game thì khỏi chê. Pin xài khi chơi game khá lâu sạc nhanh. 1 tuần sử dụng thấy rất ổn còn về sau thì ko biết nhưng với thương hiệu samsung thì mình hoàn toàn tin tưởng.",5,"1/1/1999 00:00:00",
"hdhuy",220522,"25/8/2020 00:00:00","Cảm ứng nhạy. camera và màn hình rất đẹp. spen hỗ trợ tối da trong c việc văn phonh",5,"1/1/1999 00:00:00",
"ltsong",220522,"20/8/2020 00:00:00","Còn này quá đẹp và thiết kế chi tiết sắc nét.chắc phải làm em này luôn và ngay thôi.",5,"1/1/1999 00:00:00",
"nhdhao",225063,"7/11/2020 00:00:00","Rất hài lòng về sản phẩm, màn hình rất đẹp, máy quá mượt luôn. OK...mua ngày 4/11/2020.",5,"1/1/1999 00:00:00",
"hqbao",225063,"21/9/2020 00:00:00","Sao mình cầm điện thoại lên mình rung thì giống như cái Camera bị lỏng hay sao á",5,"1/1/1999 00:00:00",
"dnmquoc",225063,"9/9/2020 00:00:00","Hiện tại sau thời gian nhận máy đến giờ. Tình trạng máy không tốt như lời quảng cáo. Máy rất nóng khi sử dụng, mức tiêu thụ pin khá cao. Mình đã ra thế giới di động để hỗ trợ nhưng lại bảo rằng do lỗi phần mền và chờ cập nhật nhưng chờ hơn 1 tuần vẫn chưa có gì. Mang về làm đủ kiểu nhưng tình trạng máy vẫn vậy. Cảm thấy không hài lòng vì máy cho lắm",1,"9/9/2020 00:00:00","Thegioididong"
"dhkhai",225063,"9/10/2020 00:00:00","Cảm ứng. bút rất nhạy Tính năng về note hỗ trợ c việc mình rất thích. tạo nên sự thoải mái trong dịch ngôn ngữ. Màn hình đẹp. ctkm tốt. rất hài lòng về sản phẩm",5,"1/1/1999 00:00:00",
"ndtai",225063,"1/10/2020 00:00:00","Sau 1 tháng sử dụng tôi thấy máy rất mượt và tốt, camera tốt,hiệu năng ổn định, trải nhiệm mượt mà. Đó là những đánh giá của tôi về Note20",5,"1/1/1999 00:00:00",
"ltduy",225063,"1/10/2020 00:00:00","Mình vừa nhận máy được vào hôm, trải nghiệm máy rất nhạy, nhanh hình thức máy đẹp, camerakhông chê vào đâu được.",5,"1/1/1999 00:00:00",
"ntkanh",225063,"1/10/2020 00:00:00","Mới mua em này, pin thật sự rất trâu, chế độ chụp đêm quá vượt bật so với thế hệ cũ, nhân viên ở tgdd tư vấn nhiệt tình, ân cần",5,"1/1/1999 00:00:00",
"ttson",225063,"1/10/2020 00:00:00","Thật tuyệt vời. Mua hôm qua giảm quá tuyêth vời cho siêu phẩm nhà Sam ko còn gì để chê cả. Từ 7plus lên luôn rất ổn. Nhân viên nhiệt tình vui vẻ",5,"1/1/1999 00:00:00",
"tu123",225063,"1/10/2020 00:00:00","Mới mua 1 cái sáng nay, phải nói là nó chạy cực nhanh, màn hình xem phim đã lắm,, sử dụng siêu đã và bạn ở TGDD siêu thị 3, Kinh Dương Vương, P12, Q6 tư vấn rất nhiệt tình... vote 5 sao!",5,"1/1/1999 00:00:00",
"nthoang",225063,"1/10/2020 00:00:00","Mình mới mua dc 1 tuần máy ổn định camera đẹp pin Facebook Zalo xem phim 2 ngày mới phải sạc nói chung ổn cả...",5,"1/1/1999 00:00:00",
"dqviet",225063,"1/10/2020 00:00:00","Đã mua và dùng thấy rất mượt mà, chụp hình đẹp không phải bàn nói chung là ko có gì bằng 1 từ thôi CHẤT",5,"1/1/1999 00:00:00",
"sssbath",225063,"1/10/2020 00:00:00","Note20 Ultra 5G xài mượt,chụp ảnh siêu nét, vì thế ae cứ tự tin mà mua, chipp chấp tất cả các loại game đều mượt",5,"1/1/1999 00:00:00",
"hltmanh",225063,"1/10/2020 00:00:00","Quá ngon luôn, máy đẹp cầm đầm tay camera chất hiệu năng tốt, pin khỏe sạc nhanh",5,"1/1/1999 00:00:00",
"nttthuy",222596,"14/9/2020 00:00:00","Mình mới mua được một ngày pin và camera thì ổn nhưng tấc dộ bắt wifi kém hơn cả con f1s cũ của mình.thất vọng ghê.có ai có cách nào giúp wifi nhanh hơn không giúp mình với.",3,"1/1/1999 00:00:00",
"nhtuan",225063,"7/9/2020 00:00:00","Dùng được 1 tuần và có cảm nhận sau. Các tác vụ khi sử dụng đều ổn. Con chip quá ngon dù nhiều người chê nhưng vẫn đủ tốt để đáp ứng các nhu cầu lướt web chơi game siêu mượt dù game nặng. Không nóng. Camera sau đẹp. Màn hình to, đẹp, nịnh mắt. Còn lại mọi thứ đều khiến mình hài lòng",5,"1/1/1999 00:00:00",
"ttlong",225063,"1/9/2020 00:00:00","Giá máy thì trên trời, mà trong hộpkhông tặng nổi cái ốp lưng, TGDD thì cũngkhông bán flipcover cho sản phẩm này, mua máy xong phải chạy đi mua cái ốp thật là quá mệt mõi",1,"1/9/2020 00:00:00","Thegioididong"
"ltkiet",225063,"31/8/2020 00:00:00","Kg có gì để chê được quá tuyệt vời. Giá hơi chát mua vừa ý ghê. Điện thoại rất đẹp",5,"1/1/1999 00:00:00",
"dhkhai",225063,"29/8/2020 00:00:00","Sản phẩm do chính người Việt làm rất chuẩn chỉnh.trang thiết bị sản xuất ra sản phẩm rất hiện đại.thiết kế máy sang trọng lịch lãm. Cấu hình máy đi đầu trong công nghệ.!!Tuyệt vời...",5,"1/1/1999 00:00:00",
"bndtrung",222596,"7/11/2020 00:00:00","Mọi thứ tốt, ngoại trừ sim 1 bị lỗi phải sử dụng sim 2 z có được đổi máy mới ko",5,"8/11/2020 00:00:00","Bộ phận bán hàng"
"ptloc",222596,"7/11/2020 00:00:00","Mình mua được 3 tháng rồi khi sử dụng đang nhắn tin toàn tự động out về màn hình chính, khi gọi bật loa ngoài tự động chuyển về loa trong và còn 1 điểm nữakhông biết mọi người có bịkhông làkhông chia sẻ được ví trí hiện tại mặc dù đã bật định vị GPS",3,"1/1/1999 00:00:00",
"ddnhue",222596,"6/11/2020 00:00:00","mình mới mua oppo reno 4 dùng được 10 ngày pin hao cực.Để qua đêm mất hết 13 - 15% pin v thì có đem đi bảo hành đc không",4,"7/11/2020 00:00:00","Hỗ trợ kỹ thuật"
"tu123",222596,"3/11/2020 00:00:00","Tất cả đều OK nhưng khi để điện thoại qua đêm thì pin tụt rất nhanh, tầm 8-10%/đêm.",4,"1/1/1999 00:00:00",
"nhtuan",222596,"3/11/2020 00:00:00","Mọi thứ ổn nhưg pin thì lại tụt quá nhanh... CÓ VOOC 4.0 bù lại... Hơi thất vọg viên pin",4,"1/1/1999 00:00:00",
"ptkien",222596,"2/11/2020 00:00:00","Đã mua tại tgdd quỳnh phụ thái bình. Máy dùng tốt sạc nhanh",4,"1/1/1999 00:00:00",
"dqviet",222596,"2/11/2020 00:00:00","Sử dụng tầm 1tháng rưỡi điện thoại bị giựt lag kinh - camera giảm hẳn mờ mờ. Nếu đổi đc mong đổi sang đt khác",2,"1/11/2020 00:00:00","Bộ phận bán hàng"
"pmthe",222596,"2/11/2020 00:00:00","Cứ bị nhảy qua cái giới thiệu chrome gì đó hoài, màkhông bik tắt làm s. Ra tgdd nv đã tạo gmail khác mà vẫn bị nv",2,"31/10/2020 00:00:00","Thegioididong.com"
"ddkhanh",222596,"2/11/2020 00:00:00","Điện thoại mới mua được hơn tháng.. giờ bị lỗi không nhận sim 1 (sim 2 dùng bình thường).. như vậy có được đỗi điện thoại mới không...?",1,"29/10/2020 00:00:00","Bộ phận bán hàng"
"ctnhung",222596,"2/11/2020 00:00:00","Đã mua 3 ngày, chưa thấy lỗi gì nhưng phải nói là sụt pin siêu nhanh dùkhông game gủng gì, bao lần vào tgdd nhân viên chỉ tư vấn sang oppo, lần này thử mua oppo dùng mà thấy nản.",3,"1/1/1999 00:00:00",
"sssbath",222596,"26/10/2020 00:00:00","Mọi thứ điều ỗn trừ việc đang bấm tự nhiên nó nhảy qua cái khác làkhông hiểu vì sao luôn. Đang nhắn tin tự nhiên nó nhảy qua bộ sưu tập",4,"1/1/1999 00:00:00",
"hqdung",222596,"26/10/2020 00:00:00","Reno 4 này toàn bộ điều ok. Nhưng mỗi cái bị lỗi là mua máy dc 30 ngày mở cáikhông lên lúc lên luc k. Gửa bảo hành thì đổi dc cái máy. Sử dụng dc 5 ngày thì lại bị mở mạngkhông lên sóng 4g thì wa yếu. Lại gửa bảo hành tiếpkhông pt đổi lại cái máy ra sao nửa đây. Chán chả mún noi ln",1,"29/10/2020 00:00:00","Thegioididong.com"
"hdhuy",222596,"26/10/2020 00:00:00","Mua đc 3 ngày vào Zalo liên tục bị đứng trắng màn hình. Quá thất vọng. Thua xa Oppo f11 Rất thất vọng Có mỗi cái Zalo để làm việckhông vào đc. Ức chế vô cùng",1,"22/10/2020 00:00:00","Hỗ trợ kỹ thuật"
"ntphong",222596,"19/10/2020 00:00:00","Mình xài được 2 tháng máy ok nhưng pin không sử dụng cũng tuột 15% pin chưa gì đã có tình trạng này rồi",4,"1/1/1999 00:00:00",
"dkhy",222596,"19/10/2020 00:00:00","Mua đc 1 tháng có đánh giá như sau, pin đối vs mình 1 ngày chơi 4,5 trận liên quân game nhẹ khác,youtobe, đọc báo, Zalo, mình thấy pin OK, sạckhông nóng chút nào, sạc 33% lên 100 %không bắt mạng là tầm 50phút, sạc xong để đókhông cài cỡ 1hkhông tuột 1% nào hết, pin mình cho 10đ.Camera của Oppo thì khỏi nói r có điều hơi ảo phù hop vs ai like sống ảo nhé 9đ. Đt lướt mượt mà,không đơkhông cứng, âm thanh OK, màng hìnhkhông tràn viên hết phần dưới viền còn dày hơi tiếc, vân tay siêu nhạy, 9đ.Nếu đt này còn 7tr 500 thì sẽ hợp lý và nhiều ng mua hơn. Đó là những đánh giá của mình cho những bạn nào dự định mua",4,"1/1/1999 00:00:00",
"mhvan",222596,"19/10/2020 00:00:00","Khen tất cả,Ko chê j,xác định sài 5 năm sau nếu ko bể,vỡ, mua TGDĐ Hoà Lân Bình Dương",5,"1/1/1999 00:00:00",
"lqcuong",222596,"19/10/2020 00:00:00","Mới mua về pin trâu, lướt web thì bt. Nhưng xài dc 1 tháng pin xuống nhanh quá, để qua đêm mà mất tới 12%, kết nối wifi yếu nữa. Được camera good",3,"1/1/1999 00:00:00",
"ttlong",222596,"9/10/2020 00:00:00","Chẳng biết nói sao..lướt bị treo máy suốt, đứng tới đứng lui..thua cả cái máy cũ j5 frime nữa.....pin thì cũng tạm ổn thôi..chẳng hiểu s mây ai cũngkhông vấn đề chỉ mỗi mk lại gặp😡😡",1,"13/10/2020 00:00:00","Hỗ trợ kỹ thuật"
"nvan",222596,"9/10/2020 00:00:00","Sản phẩm tôi mới mua hôm qua nhưng về bị hoảng vì lượng pin tuột quá nhanh.để ko Sài gì cũng tuột quá nhiều.thất vọng 1*",1,"9/10/2020 00:00:00","Bộ phận hỗ trợ"
"hqbao",222596,"6/10/2020 00:00:00","ĐT cực ổn. Sạc rất nhanh. Xử lý cv mượt. Camera sắc nét. Giao diện trẻ trung ấn tượng.",5,"1/1/1999 00:00:00",
"ntloc",222596,"2/10/2020 00:00:00","Đt sài ok. Sạc cực kỳ nhanh 10p dk hơn 30% pin. Nhưng có jowi xuống nhanh pin hay sao á.",5,"1/1/1999 00:00:00",
"nhhiep",222596,"14/9/2020 00:00:00","Qua một tháng sử dụng pin tụt nhanh quá xài nhiều phải sạc pin hai lần cũng may củ sạc nhanh nếu không chắc phải đổi con khác.Wifi bắt hơi yếu thì phải không biết mọi người có bị không",4,"1/1/1999 00:00:00",
"nvchung",222596,"13/9/2020 00:00:00","Mọi cái rất đáng đồng tiền bát gạo. Sạc nhanh ngoài dự kiến. Camera khỏi bàn, miễn chê luôn. Game quá ngon, chơi liên quân với godess max cấu hình vẫn ok. Nói chung rất rất rất kết em nó.",5,"1/1/1999 00:00:00",
"ttlong",222596,"12/9/2020 00:00:00","Mua máy đầu nguyên seal thì bị loa rè, pin tụt nhanh phải đổi lại máy mới tốt về tất cả mọi thứ, kiểu dáng màu đẹp, lướt êm nhưng pin cũng tụt nhanh, chắc dòng này pin tụt nhanh rồi",4,"1/1/1999 00:00:00",
"thanhvy",217308,"14/9/2020 00:00:00","Sao 5 tháng sử dụng thấy chip p80 yếu hơn snap 665 nữa chơi game cảm thấy hơi lag",4,"1/1/1999 00:00:00",
"ntkanh",222596,"2/10/2020 00:00:00","Máy xài ngon lắm nha mọi người ơi. Mấy bạn rate 1 sao chắc mua nhầm máy lỗi đó. Màn hình đẹp, xem phim cực kỳ thích luôn. Game thì mình chỉ chơi mỗi LQ. Chơi bật fps cao không hề giật lag, load game nhanh. Còn sử dụng bình thường thì khá mượt, đa nhiệm tốt. Camera ảo là đặc trưng của máy Oppo rồi. Điểm trừ nhỏ là camera sau hơi cao, gắn ốp tặng kèm rồi mà không che hết, sợ trầy camera với pin không được trâu lắm. Mình xài từ 7h sáng đến tầm 7h tối là hết pin rồi ( mình kết hợp chơi LQ với lướt fb chat chit các kiểu ) nhưng được cái sạc siêu nhanh. Sạc tầm 50p là thấy đầy pin r. Sẽ giới thiệu cho người thân và bạn bè sử dụng.",5,"1/1/1999 00:00:00",
"lmquy",222596,"1/10/2020 00:00:00","Dùng máy đc 2 tuần mà bị đơ máy đến 5 lần, có lúc đơ quá phải tắt ngưỡng khởi động lại. Máy mới mua mà bị đơ như vậy thì không khác gì máy cũ",1,"3/10/2020 00:00:00","Hỗ trợ kỹ thuật"
"hnthien",222596,"30/9/2020 00:00:00","Máy xài ngon mà sao nhiều người chê quá ta. Cảm nhận sau khi sử dụng mấy ngày, pin trâu (chứkhông phải như mấy bác bảo đểkhông cũng hết pin ). Màn đẹp, chạy đa nhiệm tốt, sạc nhanh,không nóng máy khi vừa sạc vừa chơi game ( bữa cũng thấy có bố nào bảo sạc nó nóng vãi loàn) camera thìkhông phải nói rồi ảo tung nóc. Điểm trừ là mặt lưng bằng nhựa, camera sau lòi dễ bị xước. Cảm nhận cá nhân xin hết.",5,"1/1/1999 00:00:00",
"ptttam",222596,"29/9/2020 00:00:00","Ad ơi đt em mua và sử dụng đc 1 tháng r ok nhưng cập nhật điện thoại xong nó bị lỗi cảm ứng 1 vùng,kiểm tra trong điện thoại thì nó báo lỗi cảm biến trọng lực và lỗi điểm ảnh màn hình là sao ta 🤨🤨",2,"1/1/1999 00:00:00",
"ltlong",222596,"28/9/2020 00:00:00","Hang ngon ma mọi người.. Chê gì nửa..",4,"1/1/1999 00:00:00",
"thanhvy",222596,"28/9/2020 00:00:00","Tdgd thua luôn,bạn tui mua dt bị lỗi ở cmt8 phú cường tdm bình dương,bị lỗi kêu đổi đc cái ktra kêu màn hình cong do mình tự lm trong khi mới mua chưa rơi rớt j rồi đổi ngta cái cục sạc,lm ăm z ai dám mua nữa",1,"29/9/2020 00:00:00","Thegioididong.com"
"lvqan",222596,"27/9/2020 00:00:00","Mình mới mua được 2 ngày, gặp 1 số lỗi: Nhận diện khuôn mặt, vân tay kém, không nhạy, đang viết hay nhập tin nhắn toàn nhảy về màn hình chính thôi, điều khiển bằng cử chỉ thì lúc đc lúc không.",2,"27/9/2020 00:00:00","Thegioididong"
"httri",222596,"27/9/2020 00:00:00","Mới mua reno4 đc 7 ngày lên fb bị đứng lâu lâu bị miết..pin thi sáng 7h 100% pinkhông xài tới nó lun đến 12h mắt 15,% pin chán thịt",2,"29/9/2020 00:00:00","Hỗ trợ kỹ thuật"
"httam",222596,"26/9/2020 00:00:00","Quá thất vọng. Trước xài sim Viettel 4g gắn máy ip7 plus chiến game ko lo rớt mạng, giờ mua e này bỏ chơi liên quân luôn vì sóng 4g quá yếu rớt mạng liên tục, rồi còn bị lỗi cảm ứng, xem video trên fb thì cứ hiện lên nút ""dừng lại ""chạm vào tắt rồi tự động hiện lên liên tục. 😡",2,"1/1/1999 00:00:00",
"pmthanh",222596,"25/9/2020 00:00:00","Mình mua đc 1 tuần mà chán quá đang xài cứ nổi mấy trang gams với trang gì ko làm gián đoạn hoài.truoc giờ chưa xài máy nào chán như dòng này hết.ko biết có ai khắc phục đc tình trạng này ko.chỉ mình với",2,"26/9/2020 00:00:00","Hỗ trợ kỹ thuật"
"vtluan",222596,"24/9/2020 00:00:00","Dùng điện thoại được hơn 1 tháng thấy sản phẩm tốt, mượt, chụp ảnh đẹp, pin tụt hơi nhanh nhưng bù lại sạc nhanh. Nhân viên tư vấn nhiệt tình",5,"1/1/1999 00:00:00",
"vdhieu",222596,"24/9/2020 00:00:00","K cần nói nhiều OK.pin trâu game cân tất sạc siêu nhanh.nhẹ OK tuyện vời muakhông hối hận sóng mạnh.",5,"1/1/1999 00:00:00",
"tylnhi",222596,"23/9/2020 00:00:00","Máy cài nhạc chuông hát chưa hết một câu thì tắt r....có cách nào chỉ cài đặc k....máy thì ok.....",5,"1/1/1999 00:00:00",
"ltlong",222596,"21/9/2020 00:00:00","Mới mua hồi sáng chụp hình đẹp sạc bin nhanh. nhân viên tư vấn nhiệt tình phục vụ tốt. Máy mượt còn ko biết về sau ra sao thì chưa biết nhưng giờ thấy ok. Màu tím rất đẹp cửa hàng hết máy đợi tí các bạn lấy máy về màu tím rất là OK",5,"1/1/1999 00:00:00",
"dhkhai",222596,"21/9/2020 00:00:00","Dùng đc,pin on 8tiếng,cam sau ok,cam trước chụp phải chắc tay thì ko nhoè.máy mát,nhẹ,sạcnhanh20phút45%,sóng khoẻ,loa to.tự chỉnh độ sáng ok,mấy ứng dụng linh tinh tắt hết cho hết thông báo",4,"1/1/1999 00:00:00",
"ntkduy",222596,"20/9/2020 00:00:00","mua dc gần tháng, pin trâu, sạc nhanh, dùng ok. Bạn nv hỗ trợ rất nhiệt tình nhé",5,"1/1/1999 00:00:00",
