name,screen,os,camera_sau,camera_truoc,chip,ram,rom,sim,pin
Samsung Galaxy A52s 5G 256GB,"Super AMOLED 6.5"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy A52 (8GB/128GB),"Super AMOLED 6.5"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy A52 5G,"Super AMOLED 6.5"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy M51,"Super AMOLED Plus 6.7"" Full HD+",Android 10,Android 10,Android 10,Android 10,Android 10,Android 10,Android 10,Android 10
Samsung Galaxy A32,"Super AMOLED 6.4"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy S21 5G,"Dynamic AMOLED 2X 6.2"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy A72,"Super AMOLED 6.7"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy Note 20,"Super AMOLED Plus 6.7"" Full HD+",Android 10,Android 10,Android 10,Android 10,Android 10,Android 10,Android 10,Android 10
Samsung Galaxy S21+ 5G 128GB,"Dynamic AMOLED 2X 6.7"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy A52 (8GB/256GB),"Super AMOLED 6.5"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy A51 (6GB/128GB),"Super AMOLED 6.5"" Full HD+",Android 10,Android 10,Android 10,Android 10,Android 10,Android 10,Android 10,Android 10
Samsung Galaxy Z Fold3 5G 256GB,"Dynamic AMOLED 2X Chính 7.6"" & Phụ 6.2"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy Z Flip3 5G 128GB,"Dynamic AMOLED 2X Chính 6.7"" & Phụ 1.9"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy S21 Ultra 5G 128GB,"Dynamic AMOLED 2X 6.8"" Quad HD+ (2K+)",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy S21+ 5G 256GB,"Dynamic AMOLED 2X 6.7"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy Z Flip3 5G 256GB,"Dynamic AMOLED 2X Chính 6.7"" & Phụ 1.9"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy Z Fold2 5G,"Chính: Dynamic AMOLED 2X, Phụ: Super AMOLED Chính 7.59"" & Phụ 6.23"" Full HD+",Android 10,Android 10,Android 10,Android 10,Android 10,Android 10,Android 10,Android 10
Samsung Galaxy Z Fold3 5G 512GB,"Dynamic AMOLED 2X Chính 7.6"" & Phụ 6.2"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy S20 FE (8GB/256GB),"Super AMOLED 6.5"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
Samsung Galaxy A52s 5G,"Super AMOLED 6.5"" Full HD+",Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11,Android 11
