province,district,address,latitude,longitude
Hưng Yên,Tỉnh Hưng Yên,"Điện máy Xanh Thôn Nghĩa Xuyên, Xã Trung Hòa, Huyện Yên Mỹ",20.86752,106.063963
Hưng Yên,huyện Tiên Lữ,"Điện máy Xanh Thôn Thụy Lôi, xã Thụy Lôi",20.699807,106.117487
Hưng Yên,Thành Phố Hưng Yên,"Điện máy Xanh Số 335 Nguyễn Văn Linh, Phường An Tảo",20.668136,106.05921
Khánh Hòa,Tỉnh Khánh Hòa,"Điện máy Xanh 47 đường 23/10, Phường Phương Sơn, Thành phố Nha Trang",12.243874,109.192813
Khánh Hòa,Huyện Diên Khánh,"Điện máy Xanh Thôn Xuân Đông, Xã Diên Xuân",12.256902,109.098592
Hà Tĩnh,Tỉnh Hà Tĩnh (Ngã tư Trung Tâm,"Điện máy Xanh Khối 4, Thị trấn Tây Sơn, Huyện Hương Sơn",18.458133,105.300852
Hải Phòng,huyện Tiên Lãng,"Điện máy Xanh Thôn An Thung, xã Tiên Cường",20.7806434,106.5144637
Hải Dương,huyện Tứ Kỳ,Điện máy Xanh Xã Nguyên Giáp,20.76067,106.491167
Hải Dương,H. Thanh Hà,"Điện máy Xanh Tỉnh lộ 390, Thôn Xuân An, X. Thanh Khê",20.898012,106.42037
Hải Dương,Huyện Tứ Kỳ,Điện máy Xanh Xã Hưng Đạo,20.85779,106.3746
Hưng Yên,H. Văn Lâm,Điện máy Xanh TT. Như Quỳnh,20.981587,105.98131
Hưng Yên,Tỉnh Hưng Yên (Cạnh ngân hàng MB Bank,"Điện máy Xanh Đường Nguyễn Khoái, Thị Trấn Khoái Châu, Huyện Khoái Châu",20.839225,105.97606
Hưng Yên,Huyện Ân Thi,"Điện máy Xanh Phố Nguyễn Trung Ngạn, Thị Trấn Ân Thi",20.817307,106.088197
Hưng Yên,Huyện Kim Động,Điện máy Xanh Xã Nghĩa Dân,20.789092,106.047498
Hưng Yên,H. Mỹ Hào,"Điện máy Xanh Thôn Trại, X. Dị Sử",20.926093,106.08476
Hưng Yên,huyện Kim Động,"Điện máy Xanh Thôn Quang Tiến, xã Thọ Vinh",20.75504,105.98803
Hưng Yên,H. Kim Động,"Điện máy Xanh 200 Nguyễn Lương Bằng, Thôn Lương Hội, TT.Lương Bằng",20.741173,106.05865
Hưng Yên,T. Hưng Yên (KCN Phố Nối B,"Điện máy Xanh 55 đường 39A, xã Nghĩa Hiệp, huyện Yên Mỹ",20.928847,106.05783
Hưng Yên,Huyện Tiên Lữ,"Điện máy Xanh Khu Phố Ba Hàng, Xã Thủ Sỹ",20.64571,106.1032
Khánh Hòa,TP Nha Trang,"Điện máy Xanh Số 10 đường 2 Tháng 4, P. Vĩnh Hải",12.27761,109.19663
Khánh Hòa,Thành Phố Cam Ranh,"Điện máy Xanh 2437 Đại Lộ Hùng Vương, Phường Cam Lợi",11.91429,109.13782
Khánh Hòa,Thị xã Ninh Hòa,"Điện máy Xanh Tổ dân phố 16, Phường Ninh Hiệp",12.501333,109.137611
Khánh Hòa,huyện Cam Lâm,"Điện máy Xanh Thôn Suối Cát, xã Cam Hiệp Nam",12.051344,109.159559
Khánh Hòa,thị xã Ninh Hòa,"Điện máy Xanh Thửa đất số 1499, tờ bản đồ số 10, tổ dân phố Phú Thọ 2, phường Ninh Diêm",12.537889,109.216528
Khánh Hòa,thành phố Nha Trang,"Điện máy Xanh 582 Lê Hồng Phong, phường Phước Long",12.214139,109.192
